source,date,uka_code,code,site,pm10,pm10_capture,pm2.5,pm2.5_capture,latitude,longitude,site_type
aurn,2015-03-01T00:00:00Z,UKA00526,CARL,Carlisle Roadside,22.336622,0.803763,14.022511,0.931452,54.894834,-2.945307,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00553,CHAT,Chatham Roadside,27.317004,0.995968,18.933962,0.997312,51.374264,0.54797,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00604,CHLG,Chesterfield Loundsley Green,27.051515,0.576613,NA,NA,53.244131,-1.454946,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00515,CHP,Chepstow A48,27.12027,0.994624,16.329515,0.997312,51.638094,-2.678731,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00529,CHS7,Chesterfield Roadside,27.354032,1,15.742049,0.997312,53.231751,-1.456928,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00211,CLL2,London Bloomsbury,27.171272,0.982527,20.620699,1,51.52229,-0.125889,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00592,COAL,Coventry Allesley,NA,NA,17.668286,0.995968,52.411628,-1.560189,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00343,DERY,Derry,23.204447,0.997312,15.661156,1,55.001225,-7.329115,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00535,EAGL,Stockton-on-Tees Eaglescliffe,19.480137,0.989247,13.126209,0.989247,54.516667,-1.358547,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00546,EB,Eastbourne,19.619583,0.322581,NA,NA,50.805778,0.271611,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00339,ECCL,Salford Eccles,25.119624,1,16.18473,0.994624,53.48481,-2.334139,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00454,ED3,Edinburgh St Leonards,14.533208,0.965054,8.148448,0.995968,55.945589,-3.182186,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00602,GHSR,Glasgow High Street,20.551613,1,10.003397,0.989247,55.860936,-4.238214,Urban Traffic
aurn,2015-03-01T00:00:00Z,UKA00576,GLKP,Glasgow Townhead,8.950377,0.235215,8.846881,0.711022,55.865782,-4.243631,Urban Background
aurn,2015-03-01T00:00:00Z,UKA00420,GRAN,Grangemouth,13.357748,0.997312,10.673433,0.986559,56.010319,-3.704399,Urban Industrial
aurn,2015-03-01T00:00:00Z,UKA00047,HAR,Harwell,20.927609,0.798387,15.037959,0.987903,51.571078,-1.325283,Rural Background
aurn,2015-03-01T00:00:00Z,UKA00260,HG1,Haringey Roadside,NA,NA,20.323253,1,51.5993,-0.068218,Urban Traffic
